#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2025-04-15-06-20-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1744698039.972798	CMrjba1v13zftBHyPj	REDACTED_IP	49763	REDACTED_IP	19	tcp	-	0.000071	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972798	Cw8Z8A2nOu3WWTppUh	REDACTED_IP	49763	REDACTED_IP	8291	tcp	-	0.000072	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972798	CfN5Ng3VNT7cfi9Txd	REDACTED_IP	49763	REDACTED_IP	548	tcp	-	0.000073	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972798	C5djWb2JfvBCr9TTq1	REDACTED_IP	49763	REDACTED_IP	24800	tcp	-	0.000074	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972798	C91kaa3Q6S6WPgkw2h	REDACTED_IP	49763	REDACTED_IP	5004	tcp	-	0.000075	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	CK7DcG1S87v3vMrF9f	REDACTED_IP	49763	REDACTED_IP	2179	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	CNWmaG1Y3zgEwHVQbf	REDACTED_IP	49763	REDACTED_IP	2717	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	CJxJly3OE3PF4ly0cf	REDACTED_IP	49763	REDACTED_IP	1218	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	C35DpX1rgKQWv61ev	REDACTED_IP	49763	REDACTED_IP	10628	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	CcJAzw2DZvVe5PK7w3	REDACTED_IP	49763	REDACTED_IP	9666	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	CMdMcm2NcK2KjeVfj6	REDACTED_IP	49763	REDACTED_IP	808	tcp	-	0.000005	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	CAaJS713w6k6fMOMlg	REDACTED_IP	49763	REDACTED_IP	2160	tcp	-	0.000006	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972878	Cx0eZY10wmfRbPFnRg	REDACTED_IP	49763	REDACTED_IP	6788	tcp	-	0.000007	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972888	CJQlH9QqQVlBGXA6j	REDACTED_IP	49763	REDACTED_IP	4321	tcp	-	0.000001	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
